Produced qty	Material	Registration date	Batch
1359203.00000	7142544	2015-07-09 00:00:00	489238
1554281.00000	7155654	2015-07-14 00:00:00	118509
414106.00000	7140029	2015-07-13 00:00:00	38968
415024.00000	7199600	2015-07-27 00:00:00	75876
753313.00000	7140029	2015-08-07 00:00:00	96226
432419.00000	7142749	2015-08-25 00:00:00	159201
-70.00000	7171978	2015-08-13 00:00:00	153950
338356.00000	7171978	2015-08-12 00:00:00	153950
1264372.00000	7155654	2015-08-07 00:00:00	360329
165947.00000	7136846	2015-10-06 00:00:00	363376
44824.00000	7132395	2016-09-13 00:00:00	212088
2909075.00000	7149042	2015-06-22 00:00:00	260576
3336585.00000	7149042	2015-06-19 00:00:00	259646
2465127.00000	7149042	2015-06-24 00:00:00	20761
2844856.00000	7149042	2015-06-29 00:00:00	523309
4541004.00000	7149042	2015-06-29 00:00:00	6706
2551219.00000	7149042	2015-06-30 00:00:00	309727
366147.00000	7155654	2015-08-07 00:00:00	123776
4358138.00000	7149042	2015-07-14 00:00:00	391514
2478084.00000	7149042	2015-07-14 00:00:00	483721
1823824.00000	7149042	2015-07-15 00:00:00	52154
358479.00000	7155654	2015-09-14 00:00:00	397285
3709797.00000	7149042	2015-07-06 00:00:00	504443
4700644.00000	7149042	2015-07-06 00:00:00	133215
4755272.00000	7149042	2015-07-06 00:00:00	278008
179427.00000	7129947	2015-08-03 00:00:00	335578
434619.00000	7134533	2015-09-17 00:00:00	24706
1398431.00000	7134517	2015-04-01 00:00:00	260834
6448622.00000	7132263	2015-04-30 00:00:00	193830
237004.00000	7142528	2015-05-22 00:00:00	316283
641061.00000	7126794	2015-06-17 00:00:00	209312
116850.00000	7143761	2015-07-08 00:00:00	521449
159939.00000	7165919	2015-06-17 00:00:00	292432
384079.00000	7142250	2015-07-06 00:00:00	183971
47757.00000	7176597	2015-06-29 00:00:00	492989
52850.00000	7193040	2015-06-29 00:00:00	220867
1585717.00000	7132263	2015-09-28 00:00:00	439089
3532600.00000	7139950	2015-05-07 00:00:00	421425
2793423.00000	7139950	2015-05-07 00:00:00	358764
2792564.00000	7139950	2015-05-07 00:00:00	324799
462778.00000	7138385	2015-06-18 00:00:00	467374
2454133.00000	7139950	2015-05-22 00:00:00	323543
2562697.00000	7139950	2015-05-22 00:00:00	438670
3403644.00000	7139950	2015-05-22 00:00:00	12363
380055.00000	7199570	2015-07-20 00:00:00	137207
3771868.00000	7139950	2015-05-11 00:00:00	360265
2209000.00000	7139950	2015-05-11 00:00:00	430317
3389828.00000	7139950	2015-05-13 00:00:00	62151
226223.00000	7199562	2015-06-22 00:00:00	161990
125279.00000	7140134	2015-08-05 00:00:00	351697
2095710.00000	7139950	2015-06-02 00:00:00	66328
2583733.00000	7139950	2015-06-02 00:00:00	408804
2589309.00000	7139950	2015-06-02 00:00:00	201247
410394.00000	7171935	2015-07-24 00:00:00	211986
285227.00000	7130252	2015-04-24 00:00:00	117272
150679.00000	7136838	2015-05-20 00:00:00	394781
222312.00000	7199562	2015-04-24 00:00:00	519883
2006883.00000	7137486	2015-05-11 00:00:00	119064
506249.00000	7142536	2015-05-28 00:00:00	488235
1679181.00000	7155646	2015-05-28 00:00:00	302304
3559758.00000	7138385	2015-06-02 00:00:00	302837
842897.00000	7199570	2015-06-22 00:00:00	37847
1021093.00000	7142536	2015-07-15 00:00:00	433806
596235.00000	7139004	2015-09-14 00:00:00	464908
2595860.00000	7139950	2015-05-27 00:00:00	77842
4538614.00000	7139950	2015-05-27 00:00:00	468952
2434043.00000	7139950	2015-05-28 00:00:00	102438
282971.00000	7142730	2015-09-17 00:00:00	431385
3018939.00000	7139950	2015-06-09 00:00:00	1655
1969808.00000	7139950	2015-06-11 00:00:00	324950
4354053.00000	7139950	2015-06-17 00:00:00	63630
256577.00000	7132271	2015-09-03 00:00:00	170813
3348806.00000	7149042	2015-06-30 00:00:00	514654
3937574.00000	7149042	2015-07-01 00:00:00	263650
2373309.00000	7149042	2015-07-01 00:00:00	161720
242169.00000	7163290	2015-10-05 00:00:00	56220
2229687.00000	7149042	2015-07-17 00:00:00	385555
4718306.00000	7149042	2015-07-17 00:00:00	112794
2451700.00000	7149042	2015-07-22 00:00:00	166319
2022392.00000	7149042	2015-07-22 00:00:00	362916
2439586.00000	7149042	2015-07-06 00:00:00	458665
4323678.00000	7149042	2015-07-06 00:00:00	375875
3290001.00000	7149042	2015-07-09 00:00:00	378461
2886084.00000	7149042	2015-07-14 00:00:00	157394
65057.00000	7130058	2015-10-08 00:00:00	226579
68697.00000	7176619	2015-10-08 00:00:00	165912
3687087.00000	7149042	2015-07-14 00:00:00	260339
2668401.00000	7149042	2015-07-17 00:00:00	468417
3701907.00000	7149042	2015-07-17 00:00:00	398824
3520653.00000	7149042	2015-07-17 00:00:00	434423
211442.00000	7192686	2015-09-28 00:00:00	260946
4456092.00000	7149042	2015-07-24 00:00:00	517603
2354997.00000	7149042	2015-07-27 00:00:00	98484
767711.00000	7172478	2015-07-15 00:00:00	271920
213826.00000	7151292	2015-07-30 00:00:00	236130
292283.00000	7165935	2015-07-27 00:00:00	117113
57860.00000	7151292	2015-08-03 00:00:00	118647
1480319.00000	7138555	2015-08-14 00:00:00	319393
410941.00000	7169159	2015-09-09 00:00:00	440331
