Material	Quantity	Batch
7135246	2033	59856
7135254	37116	534833
7135262	50600	444546
7135262	11274	62249
7135262	45310	161917
7135262	21412	52247
7134282	5130	415526
7137494	1813	236451
7134266	8	431112
7199546	282	393911
7199570	424	317339
7199538	630	39073
7139950	25	94060
7193633	120	494292
7193636	1008	425468
7199600	328	534277
7193633	47	278715
7193647	441	227021
7199546	1432	403855
7149042	-106	63657
7149042	204	63657
7199597	4464	348657
7199570	1135	418866
7142544	109	319514
7131640	1640	139953
7191243	2255	372721
7192570	140	84391
7182430	162	484927
7192580	503	40070
7192578	510	226180
7192579	172	320590
7192577	746	483211
7199872	155	215793
7182414	251	303568
7192015	859	536677
7191243	12	199632
7181833	21	380001
7192374	7	55777
7146914	6	215704
7178484	264	445460
7192257	30	151087
7192257	-32	151087
7197500	33	254991
7197500	-4	254991
7197519	18	497118
7197519	61	389090
7197500	14	131657
7192564	4	376835
7136072	3469	182184
7192424	11	171835
7174446	10977	459159
7175965	476	107508
7199856	150	523058
7175949	395	303848
7175949	-29	303848
7175906	407	493445
7182406	293	185738
7175841	339	272888
7192013	856	476233
7167660	6	159808
7182414	1845	204504
7182430	79	46847
7521030	4	509710
7532768	28	210776
7521030	19	25979
7521030	1	25979
7521030	193	25979
7520980	39	12452
7520999	74	339076
7520999	31	339076
7193548	2	231619
7192398	17	494911
7193408	202	188320
7193408	2	188320
7192380	73	176785
7193424	3	40886
7193424	160	40886
7195788	397	373593
7180756	204	285132
7192944	284	309551
7193548	505	471381
7191871	14	24767
7193116	63	217009
7192936	447	420235
7192525	1	206162
7191464	71	40418
7193467	46	416404
7193483	52	504965
7191863	609	410907
7192282	64	311110
7193467	265	290506
7137818	246	446993
7192485	57	257036
7192030	33	208004
7177429	233	36563
7193467	384	77589
7192240	393	11307
7198035	19	454865
7192485	275	17323
7182295	20	405201
7180721	5	359993
7193483	356	495228
7191863	53	369718
7191880	89	179637
7196342	10	418470
7191987	18	515975
7192482	457	90381
7193483	174	94880
7192329	0	200738
7192349	1	435015
7192372	58	221063
7192349	87	183557
7192258	48	306162
7192240	2	370315
7198035	223	75019
7192349	2	47207
7192531	16	338822
7192258	195	37184
7192536	30	140581
7192926	29	322102
7192485	26	156422
7192485	90	312301
7190948	1	437793
7191880	2	464635
7192266	40	114820
7193971	13467	457822
7192485	164	536732
7192537	48	42133
7192534	7	136672
7192532	26	142462
7191987	139	407777
7182317	217	295882
7198035	27	117139
7192258	39	449942
7192482	209	91047
7192828	270	86637
7192831	116	269341
7192040	676	342313
7192039	738	389567
7192941	20	7319
7192933	13	475068
7532776	37	260478
7192349	4	453806
7192534	59	408322
7198779	198	3065
7192505	128	43258
7192531	14	212932
7192030	32	266435
7186185	61	149113
7185960	17	58937
7192536	16	386631
7192161	690	510220
7177445	8	173761
7185065	32	250220
7192485	26	374879
7192482	171	89967
7193095	12	53500
7193095	11	53500
7192444	21	393508
7184867	4	252549
7192275	8	328428
7192275	7	328428
7191693	8	533346
7191693	8	533346
7197020	11	34149
7265832	0	412411
7265778	1	412
7182228	188	330046
7259565	2938	58096
7248385	674	7237
7259565	933	63570
7531745	1	180323
7531745	0	213784
7163606	0	303492
7191642	0	390173
7185235	11	15498
7185251	58	278170
7187785	466	276446
7184697	2	265686
7192098	17	368420
7192098	545	368420
7192095	97	20644
7192095	-2	20644
7185235	84	272907
7185243	368	96798
7193571	0	12468
7197519	0	357059
7197519	0	357059
7197500	1	418991
7197500	5	418991
7197560	16	445969
7197578	23	484040
7192257	37	343338
7174446	4669	149011
7174446	853	381991
7193260	1	168976
7193248	111	47405
7180454	244	463074
7192424	54	280513
7174446	36	244863
7174446	3771	244863
7192564	55	291668
7136072	2520	455830
7136072	-655	455830
7193469	339	478030
7193472	3	173689
7193476	117	212245
7193472	898	57098
7193472	199	119108
7193469	325	394190
7187068	2	37794
7193118	51	286194
7193469	696	449130
7193476	872	47130
7193472	813	177039
7193472	69	244966
7193476	980	288823
7193118	104	349912
7192564	4	195991
7187599	9	299298
7136072	6847	316183
7136072	-7532	316183
7193220	241	121102
7195168	228	309087
7193469	24	28353
7199872	37	461677
7175841	66	122505
7175965	820	440840
7192574	210	423306
7192579	74	374911
7192574	5	95804
7182414	71	449200
7193198	648	321943
7152477	2360	186759
7235445	1	50871
7263309	1	327607
7263244	0	254130
7263309	2	523082
7263163	1	484265
7263309	0	63386
7263163	2	251698
7262612	925	412435
7262612	388	412435
7262612	331	412435
7262612	581	412435
7262612	863	412435
7262612	395	412435
7262612	431	412435
7262612	633	412435
7262612	462	412435
7262612	767	412435
7262612	1198	412435
7262612	979	412435
7262612	418	412435
7262612	1276	412435
7262612	1164	412435
7262612	63	412435
7262612	19	412435
7262612	1036	412435
7262612	907	412435
7262612	1228	412435
7262612	890	412435
7262612	263	412435
7262612	1140	412435
7262612	259	412435
7262612	803	412435
7263163	1	512209
7263163	0	135091
7262612	18316	226542
7262612	1162	226542
7262612	1198	226542
7262612	825	226542
7262612	1173	226542
7262612	694	226542
7262612	1099	226542
7262612	1234	226542
7263309	1	280742
7263309	2	395112
7263309	30	518134
7263309	0	518134
7263163	1	294053
7263244	1	177132
7263163	2	60669
7263422	0	60669
7263309	1	360058
7263368	0	360058
7263244	1	393312
7263295	0	393312
7263422	1	334558
7263163	2	334558
7263198	5	236211
7263198	-4	236211
7263198	3	177301
7263198	-5	177301
7263198	3	12047
7263198	-3	12047
7263198	4	145552
7263198	0	145552
